cow_id,timestamp,age_months,ambient_temp_celsius,humidity_percent,health_status,temperature_celsius,heart_rate_bpm,activity_score,rumination_minutes_day,feed_intake_kg_day,water_intake_liters_day,respiration_rate_bpm
cow_001,2025-01-01 00:00:00,86,26.4,78.5,healthy,38.4,69,10,406,9.3,63.7,25
cow_001,2025-01-01 06:00:00,86,26.3,64.4,healthy,38.3,60,8,500,17.4,66.7,27
cow_001,2025-01-01 12:00:00,86,25.2,50.1,healthy,38.3,69,6,332,11.6,73.4,25
cow_001,2025-01-01 18:00:00,86,22.2,69.9,healthy,38.6,67,8,370,14.8,72.6,23
cow_001,2025-01-02 00:00:00,86,25.6,77.2,healthy,38.2,59,4,443,14.9,100.2,23
cow_001,2025-01-02 06:00:00,86,28.6,78.5,healthy,38.1,66,5,436,12.1,72.3,28
cow_001,2025-01-02 12:00:00,86,27.7,50.8,healthy,38.5,64,10,456,14.2,93.7,26
cow_001,2025-01-02 18:00:00,86,26.9,63.3,healthy,38.6,68,10,417,18.7,89.4,22
cow_001,2025-01-03 00:00:00,86,26.8,67.4,healthy,38.6,68,8,490,16.3,79.1,24
cow_001,2025-01-03 06:00:00,86,25.5,76.8,healthy,38.4,63,6,476,13.1,76.6,27
cow_001,2025-01-03 12:00:00,86,28.5,65.5,healthy,38.8,69,7,425,13.1,92.7,23
cow_001,2025-01-03 18:00:00,86,25.6,59.6,healthy,38.5,70,6,475,9.3,74.9,27
cow_001,2025-01-04 00:00:00,86,26.2,67.1,healthy,38.6,65,7,439,17.9,87.6,25
cow_001,2025-01-04 06:00:00,86,20.5,52.9,healthy,38.5,68,7,428,12.0,76.1,31
cow_001,2025-01-04 12:00:00,86,20.4,57.5,healthy,38.7,68,7,435,15.3,100.4,19
cow_001,2025-01-04 18:00:00,86,23.6,64.7,healthy,38.4,60,9,447,14.3,61.4,20
cow_001,2025-01-05 00:00:00,86,20.1,67.7,sick,39.5,75,2,329,11.2,50.0,34
cow_001,2025-01-05 06:00:00,86,27.4,52.1,sick,39.5,80,6,266,6.7,54.8,40
cow_001,2025-01-05 12:00:00,86,24.5,79.2,sick,39.5,80,4,433,9.2,60.9,40
cow_001,2025-01-05 18:00:00,86,24.4,76.5,sick,39.5,80,1,250,9.4,51.0,40
cow_001,2025-01-06 00:00:00,86,25.7,79.3,sick,39.5,80,3,286,6.8,75.1,40
cow_001,2025-01-06 06:00:00,86,26.8,66.7,sick,39.5,71,1,331,5.0,50.0,40
cow_001,2025-01-06 12:00:00,86,29.7,53.0,sick,39.5,76,2,378,7.2,62.3,40
cow_001,2025-01-06 18:00:00,86,20.0,63.5,sick,39.5,73,2,250,5.0,64.8,40
cow_001,2025-01-07 00:00:00,86,28.6,80.0,sick,39.5,80,2,250,7.1,52.4,35
cow_001,2025-01-07 06:00:00,86,26.3,54.4,sick,39.5,80,1,250,5.3,50.0,40
cow_001,2025-01-07 12:00:00,86,25.0,66.3,sick,39.5,80,3,250,9.2,79.3,36
cow_001,2025-01-07 18:00:00,86,22.2,57.7,sick,39.5,74,6,250,6.9,69.6,34
cow_001,2025-01-08 00:00:00,86,23.1,52.5,healthy,37.8,55,6,452,13.9,73.4,28
cow_001,2025-01-08 06:00:00,86,20.3,77.3,healthy,38.6,68,10,401,14.7,82.9,22
cow_001,2025-01-08 12:00:00,86,28.8,67.0,healthy,38.8,65,7,461,15.7,51.4,28
cow_001,2025-01-08 18:00:00,86,24.2,75.3,healthy,38.5,63,6,420,15.9,69.0,29
cow_001,2025-01-09 00:00:00,86,21.7,54.4,healthy,38.2,62,5,478,17.2,84.6,26
cow_001,2025-01-09 06:00:00,86,23.7,56.8,healthy,38.4,66,6,406,13.3,74.9,21
cow_001,2025-01-09 12:00:00,86,21.3,68.8,healthy,38.4,70,5,344,13.5,74.1,25
cow_001,2025-01-09 18:00:00,86,24.8,79.9,healthy,38.4,59,3,310,15.6,81.2,31
cow_001,2025-01-10 00:00:00,86,21.1,51.2,healthy,37.9,65,8,403,14.5,79.8,24
cow_001,2025-01-10 06:00:00,86,22.4,65.5,healthy,38.3,74,7,256,16.2,88.9,25
cow_001,2025-01-10 12:00:00,86,27.8,68.8,healthy,38.3,64,8,440,13.7,80.4,20
